"cell","x","y","built_pct","light_mcd_m2","pm25_ug_m3","utci_strong_h","hw_days","crop_frac","bii","landchange_freq","pop_dens_km2","gdp_pc_2022","utci_valid_h"
54,2761797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,2791797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2821797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2851797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2881797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2911797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,2941797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,2971797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,3001797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,3031797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,3061797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,3091797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,3121797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,3151797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,3181797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,3211797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,3241797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,3271797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,3301797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,3331797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
