"k","mean_silhouette","withinss","selected"
2,0.250363948202883,32435.4973207432,TRUE
3,0.196246856832529,28396.1172103938,FALSE
4,0.206982598875071,24771.5138670671,FALSE
5,0.175019860877383,22898.3316727959,FALSE
6,0.169690182503949,21352.9835195756,FALSE
7,0.174564261796927,20191.896665317,FALSE
8,0.176579431114656,19265.399881665,FALSE
