"k","mean_silhouette","withinss","selected","n_complete_cells","n_silhouette_sample"
2,0.448672783395729,9313.29593306429,TRUE,8489,5000
3,0.341229303753966,6961.16292686768,FALSE,8489,5000
4,0.302080724839639,5852.17657271779,FALSE,8489,5000
5,0.303244419583938,5150.51458503707,FALSE,8489,5000
6,0.266218798295794,4753.39210715875,FALSE,8489,5000
