"class","y1960","y2019","change_pp"
"Urban",3.2,5.5,2.3
"Cropland",29.4,24.2,-5.2
"Pasture/rangeland",15.3,12.9,-2.4
"Forest",34.3,41.3,7
"Unmanaged grass/shrub",14.4,12.6,-1.8
"Sparse/no vegetation",3.4,3.5,0.1
