"","V1","V2","V3","V4","V5","V6"
"1",12361,240,4,0,2,107
"2",0,25443,115,134,3,288
"3",127,1503,7001,116,122,82
"4",7,1857,653,30278,1447,104
"5",0,61,127,779,11309,1784
"6",0,72,0,0,21,2587
